"description"	"symbol"	"efo"	"gene"	"chromosome"	"init_pos"	"genome_reference"	"chosen_gene_idx"	"position"	"row_number"
"Lysosomal acid lipase deficiency"	"LIPA"	"MONDO_0010204"	"ENSG00000107798"	"chr10"	89232673.5	"hg38"	2	89206473	1
"Recurrent respiratory papillomatosis"	"IFNAR2"	"MONDO_0018955"	"ENSG00000159110"	"chr21"	33247801	"hg38"	1	33247801	2
"Cholestasis, progressive familial intrahepatic 1"	"SLC10A2"	"Orphanet_79306"	"ENSG00000125255"	"chr13"	103055207.5	"hg38"	1	103055207.5	3
"Periodic fever, familial, autosomal dominant"	"IL1B"	"MONDO_0007727"	"ENSG00000125538"	"chr2"	112833265	"hg38"	3	112750479	4
"Aromatic amino acid decarboxylase deficiency"	"DDC"	"MONDO_0012084"	"ENSG00000132437"	"chr7"	50511923.5	"hg38"	3	50686482	5
"Pyruvate Kinase Deficiency of Red Cells"	"PKLR"	"MONDO_0009950"	"ENSG00000143627"	"chr1"	155295365.5	"hg38"	1	155295365.5	6
"Congenital Lipomatous Overgrowth, Vascular Malformations, and Epidermal Nevi"	"PIK3CA"	"MONDO_0013038"	"ENSG00000121879"	"chr3"	179194225	"hg38"	0	179194225	7
"Congenital Plasminogen Deficiency"	"PLG"	"MONDO_0009009"	"ENSG00000122194"	"chr6"	160728170.5	"hg38"	4	160400477.5	8
"Activated PI3K-delta Syndrome"	"PIK3CD"	"DOID_0111936"	"ENSG00000171608"	"chr1"	9690422.5	"hg38"	7	9964486.5	9
"Abortion, Spontaneous"	"PGR"	"EFO_1001255"	"ENSG00000082175"	"chr11"	101079718.5	"hg38"	4	101519862.5	10
"Tardive Dyskinesia"	"SLC18A2"	"HP_0040141"	"ENSG00000165646"	"chr10"	117260272	"hg38"	0	117260272	11
"Immunoglobulin Light-chain Amyloidosis"	"CD38"	"Orphanet_85443"	"ENSG00000004468"	"chr4"	15815780	"hg38"	3	15937158.5	12
"COVID-19"	"ACR"	"MONDO_0100096"	"ENSG00000100312"	"chr22"	50741771.5	"hg38"	1	50741771.5	13
"COVID-19"	"AGT"	"MONDO_0100096"	"ENSG00000135744"	"chr1"	230708322.5	"hg38"	1	230708322.5	14
"COVID-19"	"AR"	"MONDO_0100096"	"ENSG00000169083"	"chrX"	67637320	"hg38"	2	68237919.5	15
"COVID-19"	"HRH1"	"MONDO_0100096"	"ENSG00000196639"	"chr3"	11209025	"hg38"	1	11209025	16
"COVID-19"	"HYAL1"	"MONDO_0100096"	"ENSG00000114378"	"chr3"	50301733.5	"hg38"	2	50296118.5	17
"COVID-19"	"IFNAR2"	"MONDO_0100096"	"ENSG00000159110"	"chr21"	33247801	"hg38"	2	33263419.5	18
"COVID-19"	"IL6R"	"MONDO_0100096"	"ENSG00000160712"	"chr1"	154437396.5	"hg38"	18	153991458.5	19
"COVID-19"	"JAK1"	"MONDO_0100096"	"ENSG00000162434"	"chr1"	64899889	"hg38"	2	64789153.5	20
